transcript_id	f1	f2	f3	f4
Tcm_TRINITY_DN100003_c0_g1_i1|m.5592	835	290	24	168
Tcm_TRINITY_DN100006_c3_g1_i1|m.1850	273	63	7	77
Tcm_TRINITY_DN100011_c0_g1_i2|m.7085	197	64	7	41
Tcm_TRINITY_DN100011_c0_g1_i2|m.7084	348	100	7	85
Tcm_TRINITY_DN100016_c0_g1_i1|m.2344	657	225	15	126
Tcm_TRINITY_DN100017_c0_g1_i1|m.5230	960	303	31	209
Tcm_TRINITY_DN100023_c0_g1_i2|m.5746	551	146	19	148
Tcm_TRINITY_DN100025_c0_g1_i1|m.3634	960	280	33	209
Tcm_TRINITY_DN100026_c0_g1_i3|m.6011	519	177	15	102
Tcm_TRINITY_DN100036_c0_g1_i1|m.2959	1258	409	23	245
Tcm_TRINITY_DN100041_c0_g1_i5|m.1399	1159	304	19	288
Tcm_TRINITY_DN100053_c0_g1_i1|m.3168	948	268	24	254
Tcm_TRINITY_DN100053_c0_g1_i1|m.3169	202	53	2	52
Tcm_TRINITY_DN100057_c0_g2_i1|m.4325	821	250	23	190
Tcm_TRINITY_DN100058_c5_g1_i1|m.2049	1126	314	28	275
Tcm_TRINITY_DN100058_c8_g1_i1|m.3667	431	116	5	111
Tcm_TRINITY_DN100059_c0_g3_i3|m.7363	454	116	11	121
Tcm_TRINITY_DN100067_c0_g1_i1|m.917	2680	884	79	488
Tcm_TRINITY_DN100069_c0_g1_i1|m.4977	1016	304	27	216
Tcm_TRINITY_DN100074_c0_g3_i1|m.4907	792	223	27	170
Tcm_TRINITY_DN100076_c2_g1_i2|m.4011	1272	444	58	194
Tcm_TRINITY_DN100079_c0_g1_i2|m.1186	1938	506	66	511
Tcm_TRINITY_DN100080_c0_g3_i7|m.9874	216	54	5	55
Tcm_TRINITY_DN100087_c0_g1_i3|m.780	2877	769	50	705
Tcm_TRINITY_DN100087_c0_g1_i3|m.781	199	51	5	48
Tcm_TRINITY_DN100088_c1_g2_i1|m.3919	870	260	18	238
Tcm_TRINITY_DN100089_c0_g1_i2|m.3785	1026	296	26	230
Tcm_TRINITY_DN100093_c0_g1_i3|m.1864	982	271	28	231
Tcm_TRINITY_DN100093_c0_g2_i1|m.9201	301	82	3	88
Tcm_TRINITY_DN100097_c2_g1_i4|m.3254	752	253	12	144
Tcm_TRINITY_DN100098_c0_g1_i1|m.1916	1571	536	47	294
Tcm_TRINITY_DN100099_c0_g1_i1|m.5036	602	131	25	160
Tcm_TRINITY_DN100107_c0_g1_i2|m.1503	645	174	20	175
Tcm_TRINITY_DN100109_c1_g1_i1|m.6915	509	194	5	99
Tcm_TRINITY_DN100111_c3_g1_i1|m.7304	309	90	7	71
Tcm_TRINITY_DN100112_c0_g1_i1|m.1165	1722	461	52	441
Tcm_TRINITY_DN100118_c0_g1_i2|m.1476	1905	646	27	419
Tcm_TRINITY_DN100122_c0_g1_i1|m.8514	289	104	7	47
Tcm_TRINITY_DN100125_c0_g1_i2|m.6730	448	96	26	117
Tcm_TRINITY_DN100126_c0_g1_i1|m.2968	1270	350	36	279
Tcm_TRINITY_DN100129_c0_g1_i2|m.4930	259	77	7	56
Tcm_TRINITY_DN100137_c0_g1_i1|m.1301	861	161	16	294
Tcm_TRINITY_DN100137_c0_g1_i1|m.1300	1990	604	24	427
Tcm_TRINITY_DN100140_c0_g1_i1|m.5729	580	170	15	120
Tcm_TRINITY_DN100153_c0_g1_i3|m.869	2083	635	48	501
Tcm_TRINITY_DN100159_c0_g1_i1|m.7740	542	160	10	122
Tcm_TRINITY_DN100163_c1_g1_i4|m.4656	790	228	24	206
Tcm_TRINITY_DN100167_c0_g1_i1|m.5601	414	126	10	104
Tcm_TRINITY_DN100171_c10_g1_i3|m.2443	914	279	26	185
Tcm_TRINITY_DN100172_c0_g1_i1|m.1086	1775	499	57	444
Tcm_TRINITY_DN100175_c0_g1_i1|m.846	848	269	17	186
Tcm_TRINITY_DN100177_c0_g6_i1|m.4852	941	270	26	230
Tcm_TRINITY_DN100178_c0_g1_i1|m.2362	1332	347	43	315
Tcm_TRINITY_DN100191_c0_g3_i3|m.4479	1178	299	25	295
Tcm_TRINITY_DN100193_c0_g1_i3|m.3397	1422	405	30	363
Tcm_TRINITY_DN100196_c0_g1_i1|m.5140	817	259	23	152
Tcm_TRINITY_DN100197_c1_g1_i1|m.7587	402	121	17	87
Tcm_TRINITY_DN100202_c2_g1_i2|m.8064	238	63	3	71
Tcm_TRINITY_DN100206_c3_g1_i1|m.8475	330	125	11	74
Tcm_TRINITY_DN100210_c1_g1_i1|m.4602	664	195	22	151
Tcm_TRINITY_DN100211_c0_g1_i2|m.4931	803	203	27	188
Tcm_TRINITY_DN100214_c0_g1_i1|m.2270	970	302	30	219
Tcm_TRINITY_DN100226_c0_g1_i1|m.5001	827	252	27	163
Tcm_TRINITY_DN100230_c0_g1_i2|m.1837	1573	452	41	391
Tcm_TRINITY_DN100231_c1_g1_i1|m.6295	645	180	17	142
Tcm_TRINITY_DN100233_c2_g4_i1|m.3176	947	276	35	242
Tcm_TRINITY_DN100241_c0_g1_i3|m.1787	1087	340	15	271
Tcm_TRINITY_DN100245_c0_g1_i1|m.8607	244	81	8	45
Tcm_TRINITY_DN100245_c2_g1_i2|m.1370	495	161	15	103
Tcm_TRINITY_DN100245_c3_g1_i1|m.186	261	89	5	59
Tcm_TRINITY_DN100246_c3_g1_i1|m.2924	1011	297	28	227
Tcm_TRINITY_DN100252_c0_g1_i1|m.3127	1256	380	46	280
Tcm_TRINITY_DN100275_c0_g1_i2|m.131	2494	684	90	596
Tcm_TRINITY_DN100276_c3_g1_i2|m.5616	426	111	16	116
Tcm_TRINITY_DN100278_c0_g1_i2|m.7776	504	115	20	126
Tcm_TRINITY_DN100279_c0_g1_i2|m.4133	917	215	42	236
Tcm_TRINITY_DN100281_c0_g1_i1|m.3522	1283	434	44	267
Tcm_TRINITY_DN100292_c0_g1_i4|m.5062	577	167	16	134
Tcm_TRINITY_DN100305_c0_g1_i1|m.1481	1745	428	17	558
Tcm_TRINITY_DN100306_c0_g1_i11|m.178	488	118	4	128
Tcm_TRINITY_DN100314_c1_g1_i2|m.3868	1114	397	22	210
Tcm_TRINITY_DN100316_c0_g1_i1|m.1802	1646	502	35	376
Tcm_TRINITY_DN100317_c0_g1_i1|m.3746	773	251	14	174
Tcm_TRINITY_DN100319_c0_g1_i1|m.6475	537	131	14	128
Tcm_TRINITY_DN100322_c0_g3_i1|m.6869	305	71	2	87
Tcm_TRINITY_DN100326_c0_g3_i1|m.8381	229	71	6	48
Tcm_TRINITY_DN100327_c0_g1_i3|m.4823	787	189	36	173
Tcm_TRINITY_DN100327_c0_g2_i1|m.6095	536	152	21	113
Tcm_TRINITY_DN100328_c0_g1_i2|m.3344	936	312	30	186
Tcm_TRINITY_DN100329_c0_g1_i1|m.8417	237	65	7	60
Tcm_TRINITY_DN100330_c0_g1_i2|m.7315	379	130	11	80
Tcm_TRINITY_DN100338_c5_g1_i3|m.5054	292	87	12	62
Tcm_TRINITY_DN100344_c0_g1_i1|m.6835	701	188	22	175
Tcm_TRINITY_DN100345_c0_g1_i4|m.1410	689	217	17	157
Tcm_TRINITY_DN100345_c0_g1_i4|m.1411	337	140	1	59
Tcm_TRINITY_DN100353_c6_g1_i2|m.8238	204	61	4	49
Tcm_TRINITY_DN100355_c0_g1_i1|m.6546	230	79	11	40
Tcm_TRINITY_DN100356_c0_g1_i1|m.2966	995	239	42	233
Tcm_TRINITY_DN100363_c0_g1_i1|m.1456	1688	549	49	354
Tcm_TRINITY_DN100364_c2_g1_i2|m.4957	1030	316	25	246
Tcm_TRINITY_DN100366_c0_g1_i2|m.4727	377	110	16	76
Tcm_TRINITY_DN100372_c0_g1_i3|m.3443	203	58	1	56
Tcm_TRINITY_DN100375_c0_g1_i2|m.3933	913	263	25	203
Tcm_TRINITY_DN100378_c0_g1_i1|m.6272	457	109	17	128
Tcm_TRINITY_DN100381_c4_g1_i1|m.7529	460	152	12	96
Tcm_TRINITY_DN100388_c0_g1_i1|m.3768	1116	309	34	263
Tcm_TRINITY_DN100391_c0_g1_i1|m.5521	633	183	30	150
Tcm_TRINITY_DN100394_c0_g2_i1|m.5704	530	180	10	111
Tcm_TRINITY_DN100395_c1_g1_i2|m.3748	1123	299	26	289
Tcm_TRINITY_DN100397_c0_g1_i1|m.4179	1110	383	46	207
Tcm_TRINITY_DN100398_c1_g1_i1|m.4615	247	64	6	58
Tcm_TRINITY_DN100398_c3_g1_i1|m.812	2065	590	72	480
Tcm_TRINITY_DN100399_c0_g1_i1|m.2674	1487	449	28	361
Tcm_TRINITY_DN100402_c0_g2_i1|m.2935	701	188	17	174
Tcm_TRINITY_DN100405_c0_g1_i2|m.8379	433	163	10	93
Tcm_TRINITY_DN100406_c0_g1_i2|m.1296	2317	550	46	561
Tcm_TRINITY_DN100412_c0_g1_i2|m.1181	1765	528	43	400
Tcm_TRINITY_DN100414_c0_g1_i2|m.3454	670	194	9	162
Tcm_TRINITY_DN100419_c0_g1_i2|m.3507	1248	413	46	240
Tcm_TRINITY_DN100422_c0_g1_i1|m.3368	608	173	5	156
Tcm_TRINITY_DN100423_c0_g1_i4|m.4686	903	199	32	255
Tcm_TRINITY_DN100430_c3_g1_i1|m.4126	878	280	25	182
Tcm_TRINITY_DN100437_c0_g1_i2|m.894	529	198	8	99
Tcm_TRINITY_DN100439_c0_g1_i1|m.4956	966	294	21	216
Tcm_TRINITY_DN100444_c0_g1_i1|m.2607	1267	350	24	309
Tcm_TRINITY_DN100445_c0_g2_i1|m.1761	1597	441	51	422
Tcm_TRINITY_DN100446_c0_g1_i1|m.7179	338	116	10	64
Tcm_TRINITY_DN100447_c1_g5_i1|m.1403	1201	370	27	274
Tcm_TRINITY_DN100448_c0_g1_i1|m.3648	1096	263	44	274
Tcm_TRINITY_DN100449_c0_g1_i1|m.9172	311	94	16	62
Tcm_TRINITY_DN100449_c2_g1_i2|m.757	1474	411	41	324
Tcm_TRINITY_DN100449_c2_g2_i5|m.1085	807	244	31	190
Tcm_TRINITY_DN100449_c2_g2_i5|m.1084	817	209	8	253
Tcm_TRINITY_DN100452_c0_g1_i1|m.3255	1268	356	32	291
Tcm_TRINITY_DN100453_c0_g1_i1|m.3796	376	74	8	118
Tcm_TRINITY_DN100460_c0_g1_i2|m.4946	639	201	22	122
Tcm_TRINITY_DN100461_c1_g1_i2|m.6043	846	211	22	205
Tcm_TRINITY_DN100461_c2_g1_i1|m.1555	1350	368	43	336
Tcm_TRINITY_DN100461_c2_g2_i2|m.6399	565	158	14	145
Tcm_TRINITY_DN100462_c0_g1_i1|m.2539	975	331	19	205
Tcm_TRINITY_DN100464_c0_g1_i1|m.2914	855	306	13	185
Tcm_TRINITY_DN100465_c0_g1_i1|m.5163	618	184	3	152
Tcm_TRINITY_DN100475_c0_g1_i1|m.3385	963	254	22	228
Tcm_TRINITY_DN100479_c0_g1_i2|m.2816	1390	373	34	297
Tcm_TRINITY_DN100484_c0_g1_i4|m.4988	549	180	13	119
Tcm_TRINITY_DN100485_c0_g2_i1|m.1960	1146	303	26	268
Tcm_TRINITY_DN100486_c0_g2_i2|m.1725	1737	590	37	345
Tcm_TRINITY_DN100488_c0_g1_i1|m.5304	724	215	24	159
Tcm_TRINITY_DN100490_c0_g3_i1|m.4003	1077	289	28	289
Tcm_TRINITY_DN100491_c0_g2_i2|m.3653	474	141	13	110
Tcm_TRINITY_DN100491_c0_g2_i2|m.3654	385	125	8	91
Tcm_TRINITY_DN100491_c0_g3_i1|m.10153	193	61	5	41
Tcm_TRINITY_DN100492_c0_g1_i3|m.4887	520	168	9	113
Tcm_TRINITY_DN100495_c0_g1_i2|m.7617	436	141	15	89
Tcm_TRINITY_DN100496_c0_g1_i1|m.4756	332	115	10	65
Tcm_TRINITY_DN100500_c0_g5_i2|m.2555	709	223	16	165
Tcm_TRINITY_DN100504_c0_g1_i1|m.637	509	151	10	131
Tcm_TRINITY_DN100507_c0_g1_i1|m.3235	561	161	20	116
Tcm_TRINITY_DN100509_c0_g1_i1|m.3421	961	324	19	226
Tcm_TRINITY_DN100510_c0_g1_i4|m.6367	521	165	8	143
Tcm_TRINITY_DN100516_c0_g1_i2|m.1082	272	93	2	71
