transcript_id	f1	f2	f3	f4
Tge_TRINITY_DN10012_c0_g1_i1|m.7155	499	168	14	99
Tge_TRINITY_DN10012_c0_g2_i1|m.7159	589	200	17	118
Tge_TRINITY_DN10022_c0_g1_i1|m.10899	211	51	8	48
Tge_TRINITY_DN10049_c0_g1_i1|m.5837	589	199	18	115
Tge_TRINITY_DN10058_c0_g1_i1|m.6044	763	250	25	165
Tge_TRINITY_DN10070_c0_g1_i1|m.9548	415	171	0	47
Tge_TRINITY_DN10076_c0_g1_i1|m.3748	1085	273	43	291
Tge_TRINITY_DN10079_c0_g1_i1|m.7927	414	121	13	94
Tge_TRINITY_DN10079_c0_g2_i1|m.6096	414	121	13	94
Tge_TRINITY_DN10089_c0_g1_i1|m.4111	719	233	27	152
Tge_TRINITY_DN10089_c0_g2_i1|m.4114	719	233	27	152
Tge_TRINITY_DN10093_c0_g1_i1|m.7842	489	153	19	98
Tge_TRINITY_DN10095_c0_g1_i1|m.7647	440	145	11	106
Tge_TRINITY_DN10095_c0_g2_i1|m.9307	196	64	4	42
Tge_TRINITY_DN10114_c0_g1_i1|m.2511	1555	563	38	262
Tge_TRINITY_DN10121_c0_g2_i1|m.4851	1073	316	11	244
Tge_TRINITY_DN10131_c0_g1_i1|m.2213	1342	485	38	232
Tge_TRINITY_DN10135_c0_g1_i1|m.6873	620	176	24	131
Tge_TRINITY_DN10139_c0_g1_i1|m.4416	1242	419	42	196
Tge_TRINITY_DN10146_c0_g1_i1|m.2583	256	87	7	52
Tge_TRINITY_DN10146_c0_g1_i1|m.2582	987	247	30	257
Tge_TRINITY_DN10148_c0_g1_i1|m.9497	266	75	7	51
Tge_TRINITY_DN10148_c0_g2_i1|m.9500	266	75	7	51
Tge_TRINITY_DN10151_c0_g1_i1|m.11146	222	53	6	61
Tge_TRINITY_DN10157_c0_g1_i1|m.5591	301	89	8	55
Tge_TRINITY_DN10173_c0_g2_i1|m.10544	270	88	9	50
Tge_TRINITY_DN10175_c0_g1_i1|m.1167	1820	570	47	407
Tge_TRINITY_DN10178_c0_g1_i1|m.8834	293	73	7	77
Tge_TRINITY_DN10178_c0_g2_i1|m.8832	293	73	8	76
Tge_TRINITY_DN10188_c0_g1_i1|m.7008	338	83	7	85
Tge_TRINITY_DN10191_c0_g1_i1|m.7438	315	79	21	68
Tge_TRINITY_DN10195_c0_g1_i1|m.7794	659	172	14	133
Tge_TRINITY_DN10201_c0_g1_i1|m.10392	291	77	12	64
Tge_TRINITY_DN10211_c0_g1_i1|m.9341	318	91	12	68
Tge_TRINITY_DN10217_c0_g1_i1|m.4966	1035	290	35	242
Tge_TRINITY_DN10218_c0_g1_i1|m.6927	427	124	13	90
Tge_TRINITY_DN10242_c0_g2_i1|m.5964	710	179	34	172
Tge_TRINITY_DN1024_c0_g1_i1|m.4164	825	243	16	203
Tge_TRINITY_DN10251_c0_g1_i1|m.6998	262	96	3	53
Tge_TRINITY_DN10251_c0_g2_i1|m.6955	270	99	3	54
Tge_TRINITY_DN10264_c0_g1_i1|m.8184	388	130	8	86
Tge_TRINITY_DN10266_c0_g1_i1|m.5715	601	174	6	140
Tge_TRINITY_DN10285_c0_g1_i2|m.10881	245	94	0	30
Tge_TRINITY_DN10286_c0_g1_i1|m.7709	465	130	15	110
Tge_TRINITY_DN1028_c0_g1_i1|m.7972	464	119	21	113
Tge_TRINITY_DN10293_c0_g1_i1|m.6145	799	272	18	192
Tge_TRINITY_DN10294_c0_g1_i1|m.6855	507	174	22	89
Tge_TRINITY_DN1030_c0_g1_i1|m.11106	222	42	10	71
Tge_TRINITY_DN10326_c0_g1_i1|m.10622	248	72	10	63
Tge_TRINITY_DN10341_c0_g1_i1|m.10968	228	74	5	50
Tge_TRINITY_DN10355_c0_g1_i1|m.9386	211	39	0	71
Tge_TRINITY_DN10378_c0_g1_i1|m.9422	280	93	3	56
Tge_TRINITY_DN10390_c0_g1_i1|m.7897	577	210	11	102
Tge_TRINITY_DN10390_c0_g2_i1|m.7886	577	210	11	102
Tge_TRINITY_DN10394_c0_g1_i1|m.9217	399	118	5	96
Tge_TRINITY_DN10410_c0_g1_i1|m.10872	247	46	1	75
