transcript_id	f1	f2	f3	f4
Tms_TRINITY_DN10001_c0_g2_i1|m.9180	279	72	7	59
Tms_TRINITY_DN10011_c0_g1_i1|m.12014	223	27	3	74
Tms_TRINITY_DN10017_c0_g1_i1|m.7097	786	213	36	174
Tms_TRINITY_DN10017_c0_g2_i1|m.7091	449	136	15	102
Tms_TRINITY_DN10017_c0_g2_i1|m.7092	363	87	21	75
Tms_TRINITY_DN10021_c0_g1_i1|m.1199	1406	382	41	367
Tms_TRINITY_DN10025_c0_g1_i1|m.6383	316	86	9	75
Tms_TRINITY_DN10032_c0_g1_i1|m.1985	908	262	32	211
Tms_TRINITY_DN10032_c0_g2_i1|m.1326	1253	358	42	294
Tms_TRINITY_DN10034_c0_g1_i1|m.2621	770	221	17	201
Tms_TRINITY_DN10060_c0_g1_i1|m.6173	813	223	21	200
Tms_TRINITY_DN10072_c0_g1_i1|m.8385	224	80	6	41
Tms_TRINITY_DN10074_c0_g1_i1|m.8595	652	191	19	143
Tms_TRINITY_DN10083_c0_g2_i1|m.1031	2435	731	51	578
Tms_TRINITY_DN10087_c0_g1_i1|m.6278	911	284	14	180
Tms_TRINITY_DN10094_c0_g1_i1|m.11581	238	75	3	62
Tms_TRINITY_DN10101_c0_g1_i1|m.7761	506	155	6	122
Tms_TRINITY_DN10102_c0_g1_i1|m.5671	820	251	29	151
Tms_TRINITY_DN10102_c0_g2_i1|m.5664	727	226	24	133
Tms_TRINITY_DN10105_c0_g2_i1|m.11394	241	82	4	57
Tms_TRINITY_DN10112_c0_g1_i1|m.10457	226	55	8	47
Tms_TRINITY_DN10124_c0_g1_i1|m.6438	614	219	9	121
Tms_TRINITY_DN10131_c0_g1_i1|m.6204	260	55	9	72
Tms_TRINITY_DN10150_c0_g1_i1|m.2686	1309	376	24	322
Tms_TRINITY_DN10156_c0_g1_i1|m.912	1577	485	39	374
Tms_TRINITY_DN10156_c0_g2_i1|m.948	1551	478	39	365
Tms_TRINITY_DN10159_c0_g1_i1|m.3616	203	57	9	40
Tms_TRINITY_DN10159_c0_g1_i1|m.3615	1163	362	36	287
Tms_TRINITY_DN10159_c0_g2_i1|m.3621	1349	411	46	324
Tms_TRINITY_DN10161_c0_g1_i1|m.4505	713	199	18	180
Tms_TRINITY_DN10162_c0_g1_i1|m.2098	353	103	14	70
Tms_TRINITY_DN10163_c0_g2_i1|m.4146	1198	337	35	272
Tms_TRINITY_DN10168_c0_g1_i1|m.9413	250	83	13	50
Tms_TRINITY_DN10172_c0_g2_i1|m.5439	1031	274	37	245
Tms_TRINITY_DN10181_c0_g1_i1|m.3323	686	179	35	156
Tms_TRINITY_DN10181_c0_g2_i1|m.3319	686	179	35	156
Tms_TRINITY_DN10206_c0_g1_i1|m.1749	1168	381	44	228
Tms_TRINITY_DN10211_c0_g2_i1|m.7012	670	209	14	154
Tms_TRINITY_DN10218_c0_g1_i1|m.2291	1139	318	33	256
Tms_TRINITY_DN10223_c0_g1_i1|m.4050	434	126	14	101
Tms_TRINITY_DN10223_c0_g1_i1|m.4049	528	145	6	125
Tms_TRINITY_DN10226_c0_g1_i1|m.2986	1108	369	33	236
Tms_TRINITY_DN10243_c0_g1_i1|m.6379	842	245	29	192
Tms_TRINITY_DN10252_c0_g1_i1|m.7087	305	97	10	59
Tms_TRINITY_DN10252_c0_g2_i1|m.7089	305	97	10	59
Tms_TRINITY_DN10255_c0_g1_i1|m.10566	325	86	14	79
Tms_TRINITY_DN10257_c0_g2_i1|m.7059	650	193	28	137
Tms_TRINITY_DN10259_c0_g1_i1|m.7038	850	266	11	217
