transcript_id	f1	f2	f3	f4
Tdi_TRINITY_DN10005_c0_g1_i1|m.3073	702	180	18	180
Tdi_TRINITY_DN10005_c0_g2_i1|m.9334	217	55	6	52
Tdi_TRINITY_DN10040_c0_g1_i1|m.2719	1077	302	26	269
Tdi_TRINITY_DN10051_c0_g1_i1|m.10209	257	75	6	61
Tdi_TRINITY_DN10101_c0_g1_i1|m.8704	390	122	15	70
Tdi_TRINITY_DN10140_c0_g1_i1|m.9793	258	93	4	32
Tdi_TRINITY_DN10158_c0_g1_i1|m.9184	300	95	8	62
Tdi_TRINITY_DN10167_c0_g1_i1|m.6574	488	131	18	116
Tdi_TRINITY_DN10215_c0_g1_i1|m.5512	316	88	9	73
Tdi_TRINITY_DN10224_c0_g1_i1|m.3319	1161	319	35	282
Tdi_TRINITY_DN10229_c0_g1_i1|m.6956	545	197	13	94
Tdi_TRINITY_DN10250_c0_g1_i1|m.7772	431	140	13	91
Tdi_TRINITY_DN10250_c0_g2_i1|m.7775	527	161	13	121
Tdi_TRINITY_DN10252_c0_g1_i1|m.1545	239	86	3	44
Tdi_TRINITY_DN10293_c0_g1_i1|m.4695	963	308	19	201
Tdi_TRINITY_DN102_c0_g1_i1|m.10212	253	67	8	59
Tdi_TRINITY_DN10302_c0_g1_i1|m.6958	670	205	18	145
Tdi_TRINITY_DN10302_c0_g2_i1|m.7295	620	172	23	145
Tdi_TRINITY_DN10306_c0_g1_i1|m.6178	285	98	10	51
Tdi_TRINITY_DN10311_c0_g1_i1|m.4515	1052	289	22	272
Tdi_TRINITY_DN10330_c0_g1_i1|m.8550	406	113	12	87
Tdi_TRINITY_DN10337_c0_g1_i1|m.8907	200	54	5	56
Tdi_TRINITY_DN10366_c0_g1_i1|m.2380	1091	341	23	243
Tdi_TRINITY_DN10393_c0_g1_i1|m.8889	225	82	8	39
Tdi_TRINITY_DN10401_c0_g1_i1|m.4667	828	232	24	194
Tdi_TRINITY_DN10406_c0_g1_i1|m.4009	283	53	4	83
Tdi_TRINITY_DN1040_c0_g1_i1|m.7431	517	184	6	94
Tdi_TRINITY_DN10410_c0_g1_i1|m.10883	204	65	4	42
Tdi_TRINITY_DN10417_c0_g1_i1|m.6520	762	227	16	159
Tdi_TRINITY_DN10424_c0_g1_i1|m.3360	712	220	30	133
Tdi_TRINITY_DN10424_c0_g2_i1|m.3718	930	290	34	183
Tdi_TRINITY_DN10435_c0_g1_i1|m.2044	1640	536	21	326
Tdi_TRINITY_DN10439_c0_g1_i1|m.5159	1048	281	29	265
Tdi_TRINITY_DN10458_c0_g1_i1|m.6657	577	158	8	124
Tdi_TRINITY_DN10458_c0_g2_i1|m.6300	629	171	8	140
Tdi_TRINITY_DN10480_c0_g1_i1|m.7510	398	129	14	80
Tdi_TRINITY_DN10480_c0_g2_i1|m.7508	398	129	14	80
Tdi_TRINITY_DN10484_c0_g1_i1|m.9637	223	54	6	56
