transcript_id	f1	f2	f3	f4
Tbi_TRINITY_DN100066_c0_g1_i1|m.5104	816	230	28	174
Tbi_TRINITY_DN100126_c0_g1_i1|m.9412	205	65	6	36
Tbi_TRINITY_DN100197_c0_g1_i1|m.4964	361	114	13	76
Tbi_TRINITY_DN100236_c0_g1_i1|m.8861	250	71	6	72
Tbi_TRINITY_DN100401_c0_g1_i1|m.8048	485	134	20	108
Tbi_TRINITY_DN100452_c0_g1_i1|m.7079	649	175	22	174
Tbi_TRINITY_DN100498_c0_g2_i1|m.9443	234	53	10	51
Tbi_TRINITY_DN100502_c0_g1_i1|m.7271	277	87	3	71
Tbi_TRINITY_DN100530_c0_g1_i1|m.8133	536	160	12	111
Tbi_TRINITY_DN100697_c0_g1_i1|m.7891	389	130	9	72
Tbi_TRINITY_DN10096_c0_g1_i1|m.8051	272	96	3	58
Tbi_TRINITY_DN10099_c0_g1_i1|m.8400	491	130	10	113
Tbi_TRINITY_DN101187_c0_g1_i1|m.9226	275	92	6	50
Tbi_TRINITY_DN101387_c0_g1_i1|m.9430	222	64	10	49
Tbi_TRINITY_DN101944_c0_g1_i1|m.8040	496	151	6	121
Tbi_TRINITY_DN102226_c0_g1_i1|m.7478	472	110	23	130
Tbi_TRINITY_DN102312_c0_g1_i1|m.9506	215	50	4	58
Tbi_TRINITY_DN10244_c0_g1_i1|m.6694	771	235	30	158
Tbi_TRINITY_DN102504_c0_g2_i1|m.9468	214	54	5	66
Tbi_TRINITY_DN102829_c0_g1_i1|m.8623	264	86	6	67
Tbi_TRINITY_DN10286_c0_g1_i1|m.6639	670	208	17	146
Tbi_TRINITY_DN103264_c0_g1_i1|m.6238	768	300	16	128
Tbi_TRINITY_DN10372_c0_g1_i1|m.8264	324	92	5	71
Tbi_TRINITY_DN10372_c0_g2_i1|m.8294	324	92	5	71
Tbi_TRINITY_DN104035_c0_g1_i1|m.9343	244	83	4	47
Tbi_TRINITY_DN10431_c0_g1_i1|m.4863	438	139	10	91
Tbi_TRINITY_DN104432_c0_g1_i1|m.9499	215	45	2	68
Tbi_TRINITY_DN104451_c0_g1_i1|m.9357	244	79	3	49
Tbi_TRINITY_DN104832_c0_g1_i1|m.9617	202	50	6	45
Tbi_TRINITY_DN105212_c0_g1_i1|m.9409	226	72	6	53
Tbi_TRINITY_DN10526_c0_g1_i1|m.7954	305	84	6	85
Tbi_TRINITY_DN105669_c0_g1_i1|m.1484	1227	330	23	292
Tbi_TRINITY_DN105673_c0_g1_i1|m.8528	342	105	9	72
Tbi_TRINITY_DN105676_c0_g1_i1|m.5694	686	203	18	161
Tbi_TRINITY_DN105694_c0_g1_i1|m.8080	291	94	6	59
Tbi_TRINITY_DN105697_c0_g1_i1|m.5052	201	49	4	58
Tbi_TRINITY_DN105703_c0_g1_i1|m.4830	290	76	5	82
Tbi_TRINITY_DN105706_c0_g1_i1|m.6372	404	114	6	94
Tbi_TRINITY_DN105716_c0_g1_i1|m.7635	380	83	6	116
Tbi_TRINITY_DN105733_c0_g1_i1|m.4601	695	207	20	128
Tbi_TRINITY_DN105792_c0_g1_i1|m.7843	227	69	4	51
Tbi_TRINITY_DN105797_c0_g1_i1|m.8196	293	73	7	77
Tbi_TRINITY_DN1057_c0_g1_i1|m.9512	210	70	7	43
Tbi_TRINITY_DN105808_c0_g1_i1|m.6353	576	185	18	112
Tbi_TRINITY_DN105829_c0_g1_i1|m.8019	295	100	10	51
Tbi_TRINITY_DN105835_c0_g1_i1|m.7433	291	91	5	60
Tbi_TRINITY_DN105853_c0_g1_i1|m.8268	196	67	7	51
Tbi_TRINITY_DN105925_c0_g1_i1|m.6710	275	72	7	69
Tbi_TRINITY_DN105928_c0_g1_i1|m.3869	740	185	20	186
Tbi_TRINITY_DN106026_c0_g1_i1|m.3791	708	181	26	174
Tbi_TRINITY_DN106052_c0_g1_i1|m.7808	193	68	5	37
Tbi_TRINITY_DN106315_c0_g1_i1|m.9176	290	55	5	97
Tbi_TRINITY_DN106341_c0_g1_i1|m.8220	294	89	8	65
Tbi_TRINITY_DN106565_c0_g1_i1|m.8616	223	72	4	52
Tbi_TRINITY_DN106627_c0_g1_i1|m.8830	256	62	9	51
Tbi_TRINITY_DN106639_c0_g1_i1|m.8931	226	65	6	48
Tbi_TRINITY_DN106644_c0_g1_i1|m.9160	210	77	8	35
Tbi_TRINITY_DN106653_c0_g1_i1|m.8824	281	59	5	54
Tbi_TRINITY_DN106669_c0_g1_i1|m.8537	306	76	5	78
Tbi_TRINITY_DN106797_c0_g1_i1|m.8610	420	108	18	108
Tbi_TRINITY_DN107047_c0_g1_i1|m.8072	403	117	17	84
Tbi_TRINITY_DN107074_c0_g1_i1|m.7769	469	161	15	93
Tbi_TRINITY_DN107105_c0_g1_i1|m.8454	312	81	8	79
Tbi_TRINITY_DN107158_c0_g1_i1|m.8772	241	81	7	49
Tbi_TRINITY_DN10724_c0_g1_i1|m.9016	213	57	6	48
Tbi_TRINITY_DN107382_c0_g1_i1|m.7505	426	118	15	83
Tbi_TRINITY_DN107664_c0_g1_i1|m.9281	190	54	4	49
Tbi_TRINITY_DN107862_c0_g1_i1|m.8087	241	81	7	58
Tbi_TRINITY_DN108133_c0_g1_i1|m.5990	213	66	7	53
Tbi_TRINITY_DN10829_c0_g1_i1|m.5684	842	227	28	196
Tbi_TRINITY_DN108562_c0_g1_i1|m.9427	219	72	7	53
Tbi_TRINITY_DN10911_c0_g1_i1|m.6943	361	100	3	94
Tbi_TRINITY_DN109311_c0_g1_i1|m.7628	288	86	8	68
Tbi_TRINITY_DN10957_c0_g1_i1|m.8505	407	106	10	98
Tbi_TRINITY_DN10961_c0_g1_i1|m.7719	228	51	8	52
Tbi_TRINITY_DN109718_c0_g1_i1|m.8836	286	85	10	51
Tbi_TRINITY_DN11108_c0_g1_i1|m.8998	274	66	10	73
Tbi_TRINITY_DN111554_c0_g1_i1|m.9267	222	57	7	53
Tbi_TRINITY_DN11209_c0_g1_i1|m.8254	234	75	4	59
Tbi_TRINITY_DN11362_c0_g1_i1|m.9623	189	63	8	43
Tbi_TRINITY_DN11383_c0_g1_i1|m.5270	620	181	6	150
Tbi_TRINITY_DN11434_c0_g1_i4|m.9389	237	67	0	62
Tbi_TRINITY_DN1143_c0_g1_i1|m.9644	200	60	7	33
Tbi_TRINITY_DN11447_c0_g1_i1|m.4182	844	215	25	215
Tbi_TRINITY_DN11600_c0_g1_i1|m.9217	212	71	4	49
Tbi_TRINITY_DN11675_c0_g1_i1|m.5618	835	292	27	163
Tbi_TRINITY_DN1176_c0_g1_i1|m.8376	357	117	5	76
Tbi_TRINITY_DN11875_c0_g1_i1|m.3372	1113	302	29	275
Tbi_TRINITY_DN11875_c0_g2_i1|m.4489	1113	302	29	275
Tbi_TRINITY_DN1187_c0_g1_i1|m.6920	784	256	14	152
Tbi_TRINITY_DN1192_c0_g1_i1|m.8990	339	100	11	75
Tbi_TRINITY_DN12065_c0_g1_i1|m.8542	313	88	8	68
Tbi_TRINITY_DN12072_c0_g1_i1|m.3689	721	209	27	174
Tbi_TRINITY_DN12178_c0_g1_i1|m.9327	224	64	8	49
Tbi_TRINITY_DN12272_c0_g2_i1|m.8707	211	62	11	49
Tbi_TRINITY_DN12299_c0_g1_i1|m.8554	282	80	7	57
Tbi_TRINITY_DN1234_c0_g1_i1|m.8905	273	54	6	81
Tbi_TRINITY_DN12370_c0_g1_i1|m.9167	287	88	15	63
Tbi_TRINITY_DN12407_c0_g1_i1|m.3154	1524	515	31	294
Tbi_TRINITY_DN12446_c0_g1_i1|m.8684	413	104	0	125
Tbi_TRINITY_DN1249_c0_g1_i1|m.9308	204	55	11	39
Tbi_TRINITY_DN12524_c0_g1_i4|m.3607	979	320	23	202
Tbi_TRINITY_DN12694_c0_g1_i1|m.6340	719	235	30	132
Tbi_TRINITY_DN13007_c0_g1_i1|m.8200	324	94	12	68
Tbi_TRINITY_DN1302_c0_g1_i1|m.4611	623	179	15	128
Tbi_TRINITY_DN1302_c0_g2_i1|m.4612	622	180	15	128
Tbi_TRINITY_DN13114_c0_g1_i1|m.4827	1094	360	20	224
Tbi_TRINITY_DN13118_c0_g1_i1|m.8288	321	123	7	56
Tbi_TRINITY_DN13149_c0_g1_i1|m.6162	819	250	17	153
Tbi_TRINITY_DN13190_c0_g1_i1|m.8291	246	76	5	51
Tbi_TRINITY_DN13216_c0_g1_i1|m.8949	207	71	10	30
Tbi_TRINITY_DN13263_c0_g1_i1|m.8570	290	78	13	63
Tbi_TRINITY_DN13333_c0_g1_i1|m.8833	222	63	10	50
Tbi_TRINITY_DN13340_c0_g1_i1|m.3523	920	288	15	187
Tbi_TRINITY_DN13353_c0_g1_i1|m.6843	203	72	8	38
Tbi_TRINITY_DN13368_c0_g1_i1|m.3966	681	198	16	131
Tbi_TRINITY_DN13397_c0_g1_i1|m.3330	1071	340	44	213
Tbi_TRINITY_DN13400_c0_g1_i1|m.8174	289	42	4	106
Tbi_TRINITY_DN13400_c0_g3_i1|m.8975	252	37	4	91
Tbi_TRINITY_DN13405_c0_g1_i1|m.7659	237	66	6	54
Tbi_TRINITY_DN13424_c0_g2_i1|m.5514	376	105	14	90
Tbi_TRINITY_DN13438_c0_g1_i1|m.2575	560	180	12	133
Tbi_TRINITY_DN13440_c0_g1_i1|m.8961	225	66	6	54
Tbi_TRINITY_DN13441_c0_g1_i1|m.7056	328	111	5	66
Tbi_TRINITY_DN13446_c0_g1_i1|m.6757	425	117	14	101
Tbi_TRINITY_DN13461_c0_g1_i1|m.6535	619	180	16	142
Tbi_TRINITY_DN13487_c0_g1_i1|m.6050	904	209	26	259
Tbi_TRINITY_DN13488_c0_g1_i1|m.5534	322	85	8	77
Tbi_TRINITY_DN13495_c0_g1_i1|m.8511	220	59	4	59
Tbi_TRINITY_DN13526_c0_g1_i1|m.9433	226	57	8	57
Tbi_TRINITY_DN13527_c0_g1_i1|m.6445	269	70	6	81
Tbi_TRINITY_DN13527_c0_g2_i1|m.6456	269	70	6	81
Tbi_TRINITY_DN13562_c0_g1_i1|m.5388	419	111	14	101
Tbi_TRINITY_DN13562_c0_g2_i1|m.5381	419	111	15	100
Tbi_TRINITY_DN13566_c0_g1_i1|m.9087	240	58	1	64
Tbi_TRINITY_DN13566_c0_g3_i1|m.9086	240	58	0	65
Tbi_TRINITY_DN13579_c0_g1_i1|m.3970	680	179	21	176
Tbi_TRINITY_DN13622_c0_g1_i1|m.7868	508	137	20	118
Tbi_TRINITY_DN13691_c0_g1_i1|m.5752	680	196	36	138
Tbi_TRINITY_DN13720_c0_g1_i1|m.6977	636	168	21	153
Tbi_TRINITY_DN13736_c0_g1_i1|m.6510	238	80	4	59
Tbi_TRINITY_DN13740_c0_g1_i1|m.8587	369	94	8	78
Tbi_TRINITY_DN13747_c0_g1_i1|m.8331	321	82	12	71
Tbi_TRINITY_DN13772_c0_g1_i1|m.5532	212	56	5	45
Tbi_TRINITY_DN13772_c0_g2_i1|m.5516	212	56	5	45
Tbi_TRINITY_DN13937_c0_g1_i1|m.5897	618	185	27	115
Tbi_TRINITY_DN13942_c0_g1_i1|m.3782	975	274	22	229
Tbi_TRINITY_DN13942_c0_g2_i1|m.3905	975	274	22	229
Tbi_TRINITY_DN1397_c0_g1_i1|m.7409	467	145	13	101
Tbi_TRINITY_DN1397_c0_g2_i1|m.7402	467	145	13	101
Tbi_TRINITY_DN14183_c0_g1_i1|m.6263	803	298	34	158
Tbi_TRINITY_DN14343_c0_g1_i1|m.8372	495	135	8	115
Tbi_TRINITY_DN14439_c0_g1_i1|m.8782	341	92	4	79
Tbi_TRINITY_DN14670_c0_g1_i1|m.5436	822	253	32	147
Tbi_TRINITY_DN14773_c0_g1_i1|m.5597	353	141	6	64
Tbi_TRINITY_DN1478_c0_g1_i1|m.7240	396	114	16	95
Tbi_TRINITY_DN1486_c0_g1_i1|m.7112	574	166	17	116
Tbi_TRINITY_DN14931_c0_g1_i1|m.8140	424	127	12	106
Tbi_TRINITY_DN14994_c0_g1_i1|m.5538	298	68	9	72
Tbi_TRINITY_DN15021_c0_g2_i1|m.8296	256	70	3	73
Tbi_TRINITY_DN1504_c0_g1_i1|m.7605	210	76	4	37
Tbi_TRINITY_DN15065_c0_g1_i1|m.9156	300	88	17	51
Tbi_TRINITY_DN1528_c0_g1_i1|m.8666	367	139	8	71
Tbi_TRINITY_DN15380_c0_g1_i1|m.8490	404	127	18	60
Tbi_TRINITY_DN15383_c0_g1_i1|m.8203	460	113	20	112
Tbi_TRINITY_DN1545_c0_g1_i1|m.8493	334	92	8	73
Tbi_TRINITY_DN15562_c0_g1_i1|m.7498	609	218	22	111
Tbi_TRINITY_DN15658_c0_g1_i1|m.9145	211	29	9	60
Tbi_TRINITY_DN1569_c0_g1_i1|m.8876	369	117	12	66
Tbi_TRINITY_DN1571_c0_g1_i1|m.8046	478	144	14	96
Tbi_TRINITY_DN15778_c0_g1_i1|m.8533	227	63	7	60
Tbi_TRINITY_DN15823_c0_g1_i1|m.8924	230	79	4	50
Tbi_TRINITY_DN1589_c0_g1_i1|m.6730	356	113	8	69
Tbi_TRINITY_DN1589_c0_g2_i1|m.6731	356	113	8	69
Tbi_TRINITY_DN15919_c0_g2_i1|m.8234	330	106	4	67
Tbi_TRINITY_DN15959_c0_g1_i1|m.6476	658	142	22	177
Tbi_TRINITY_DN16040_c0_g1_i1|m.3777	842	231	29	203
Tbi_TRINITY_DN16150_c0_g1_i1|m.3958	1209	411	33	267
Tbi_TRINITY_DN16206_c0_g1_i1|m.9586	202	57	9	41
Tbi_TRINITY_DN16224_c0_g1_i1|m.7895	387	117	10	80
Tbi_TRINITY_DN16265_c0_g1_i1|m.7207	688	148	24	187
Tbi_TRINITY_DN16377_c0_g1_i1|m.1265	2159	680	69	452
Tbi_TRINITY_DN16429_c0_g1_i1|m.6208	815	269	33	170
Tbi_TRINITY_DN1643_c0_g1_i1|m.7524	519	188	11	92
Tbi_TRINITY_DN16520_c0_g1_i1|m.6746	659	196	13	143
Tbi_TRINITY_DN16539_c0_g1_i1|m.4695	678	207	20	157
Tbi_TRINITY_DN16564_c0_g1_i1|m.7318	197	59	6	56
Tbi_TRINITY_DN16637_c0_g1_i1|m.5520	842	242	24	176
Tbi_TRINITY_DN1670_c0_g1_i1|m.7496	482	149	18	98
Tbi_TRINITY_DN16747_c0_g1_i1|m.9225	192	61	7	43
Tbi_TRINITY_DN16751_c0_g1_i1|m.3366	916	279	17	213
Tbi_TRINITY_DN16782_c0_g1_i1|m.2621	1350	363	44	319
Tbi_TRINITY_DN16782_c0_g2_i1|m.2618	816	224	31	183
Tbi_TRINITY_DN16782_c0_g2_i1|m.2619	591	160	13	142
Tbi_TRINITY_DN1680_c0_g1_i1|m.7587	462	175	8	78
Tbi_TRINITY_DN1686_c0_g1_i1|m.8527	253	85	7	48
Tbi_TRINITY_DN16978_c0_g1_i1|m.7613	225	88	8	36
Tbi_TRINITY_DN17128_c0_g1_i1|m.4522	1048	307	34	231
Tbi_TRINITY_DN17268_c0_g1_i1|m.8658	396	68	0	127
